,Unnamed: 0,product_id,product_name,aisle_id,department_id
0,0,1,Chocolate Sandwich Cookies,61,19
1,1,2,All-Seasons Salt,104,13
2,2,3,Robust Golden Unsweetened Oolong Tea,94,7
3,3,4,Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce,38,1
4,4,5,Green Chile Anytime Sauce,5,13
5,5,6,Dry Nose Oil,11,11
6,6,7,Pure Coconut Water With Orange,98,7
7,7,8,Cut Russet Potatoes Steam N' Mash,116,1
8,8,9,Light Strawberry Blueberry Yogurt,120,16
9,9,10,Sparkling Orange Juice & Prickly Pear Beverage,115,7
10,10,11,Peach Mango Juice,31,7
11,11,12,Chocolate Fudge Layer Cake,119,1
12,12,13,Saline Nasal Mist,11,11
13,13,14,Fresh Scent Dishwasher Cleaner,74,17
14,14,15,Overnight Diapers Size 6,56,18
15,15,16,Mint Chocolate Flavored Syrup,103,19
16,16,17,Rendered Duck Fat,35,12
17,17,18,Pizza for One Suprema  Frozen Pizza,79,1
18,18,19,Gluten Free Quinoa Three Cheese & Mushroom Blend,63,9
19,19,20,Pomegranate Cranberry & Aloe Vera Enrich Drink,98,7
20,20,21,Small & Medium Dental Dog Treats,40,8
21,21,22,Fresh Breath Oral Rinse Mild Mint,20,11
22,22,23,Organic Turkey Burgers,49,12
