Country,Year,LifeExpectancy,GDPperCapita,Population,SchoolEnrollment,InternetUsers,HealthExpenditure,LiteracyRate,GDPGrowth
Brazil,1996,68.108,5179.130520024644,164202549.0,,0.451,,,2.2088640503902184
Mauritania,2017,67.088,1615.0040132732322,4210600.0,87.8173094861384,21.0172,55.22446442,,6.270545669376773
India,2006,65.373,801.6683536590223,1172878890.0,,2.8055,29.37600899,62.75,8.060732571666506
Belgium,1998,77.47317073170733,25338.44329349042,10203008.0,,7.89,,,1.961832404556091
Ghana,2000,58.139,253.74693620334375,19637087.0,79.9403762817383,0.153615,10.4517746,57.9000015258789,3.7000000816440775
Malaysia,2018,75.734,10901.80199544212,32910967.0,95.7761544783431,81.201,409.84710693,94.8499984741211,4.843086976348815
Guinea-Bissau,1992,47.518,574.3211064181103,1024356.0,48.1332893371582,,,,1.0999999677652568
American Samoa,2011,72.662,10383.459331450951,54895.0,,,,,0.0
Least developed countries: UN classification,2019,64.97245344155407,1104.1863315105152,1058013514.0,102.805526733398,21.9,41.96966623293236,66.2221832275391,5.101977814170766
Portugal,2019,81.67560975609757,23343.362897003433,10286263.0,104.897682189941,75.3464,2221.73120117,,2.7456847956423616
OECD members,2016,79.89142269189136,36235.99882506374,1340142055.0,102.840217590332,,4445.736993571749,,1.8433244775090711
Slovenia,2003,76.85853658536585,14711.674874253047,1995733.0,110.09203338623,31.8548,1203.06359863,,3.1950311723603733
Pakistan,2016,65.943,1424.6916119589737,220138869.0,75.7336415786478,12.3854,36.46934128,,6.573838285110426
Barbados,2000,74.58,11674.673647176442,262063.0,102.616241455078,3.97368,622.47875977,,4.447189628362409
Fiji,2000,66.194,1995.7207116326392,840909.0,100.265716552734,1.49685,74.28569794,,-1.6999984160551094
Malta,1996,77.34146341463416,10061.698965679334,379905.0,,1.05,,,3.777335666688586
Norway,1990,76.53731707317074,28242.98140282198,4241473.0,,0.707,,,1.9322913067060057
Mauritania,2015,66.498,1554.9489787178247,3965959.0,96.699365333097,17.6,57.1233139,65.1100006103516,5.3763392409925075
Jamaica,2003,71.585,3549.7075839461813,2656623.0,90.5682067871094,7.8,149.80267334,,3.6663175927902074
Curacao,2008,74.314,19423.335243017525,145880.0,,,,,2.188043080191676
Latin America & Caribbean,1997,69.96222211945111,4634.547769468715,497097004.0,113.496803283691,,,87.9306335449219,5.396516194643425
OECD members,1990,74.53856707228601,17011.413526842574,1107695519.0,,,,,2.937450524590929
Uganda,1994,47.675,198.44198799879513,20108801.0,70.2334213256836,,,,6.40363574007452
India,1996,61.027,401.0467546735786,979678458.0,,0.0463,,,7.549522249200507
New Caledonia,2013,76.867,36671.156675262064,276822.0,,66.0,,,
Isle of Man,2015,80.267,84753.51874227317,83593.0,,,,,-0.385866882198087
Pacific island small states,2004,67.10381695777916,2272.931629931322,2145505.0,103.436538696289,,116.5140840211421,,3.9887424824077016
Burundi,2010,57.088,216.72770530197636,9376444.0,135.159734772168,1.0,24.45114708,,5.124159994398056
United Arab Emirates,2018,82.449,45689.857004940095,9346701.0,105.675358079069,98.45,1872.58422852,,1.3139138815357825
Niger,1992,43.064,384.02965730431566,8817633.0,26.2263698577881,,,,2.0007523614285105
South Asia,1998,61.8215419198501,413.7050579951287,1191405930.0,,,,57.9161109924316,5.985544534335858
Saudi Arabia,1998,71.957,9836.057297685738,14922185.0,,0.101,,,2.803811839989919
China,2017,77.235,8979.676527098563,1396215000.0,97.5379880463436,54.3,439.94006348,,6.891266362121101
Iceland,1993,78.93463414634148,23579.79536124172,263725.0,,2.67,,,1.3134494798600684
Finland,1996,76.69341463414635,25756.677707361778,5124573.0,,16.8,,,3.662657169871863
Qatar,2007,77.741,65954.3419525051,1208595.0,98.2639617919922,37.0,1301.49682617,93.0800018310547,17.98565681602635
Low income,1992,51.09723508135648,355.9223472443973,257817106.0,58.1169815063477,,,47.8176193237305,0.6440995908471479
Kenya,1990,58.334,374.4589928955619,22892651.0,105.313667297363,0.0,,,4.192050971551666
Burundi,1992,44.469,184.86897045644665,5858407.0,61.2891883850098,0.0,,,1.0099983709962856
Sub-Saharan Africa (IDA & IBRD countries),2011,57.473441843073374,1779.854731263178,919528126.0,95.7367477416992,7.6,92.6752598448592,61.0053901672363,4.454914700005247
Suriname,1994,62.542,1433.5425565278078,422375.0,138.656692504883,,,,3.3999988973605753
Middle income,2013,70.65585397159789,4637.494687426451,5322381812.0,104.493049621582,,236.2186381270138,84.45263671875,5.668846532925471
Guinea-Bissau,2000,50.565,316.94549503763886,1234741.0,75.5002975463867,0.230103,13.2785511,41.3600006103516,1.1002781577742269
Myanmar,2020,66.612,1490.216835483673,53016522.0,,45.4477,66.02284241,93.5471293315427,-9.04834717984643
Peru,2000,69.821,1945.4133845169831,26598331.0,116.377288818359,3.07643,83.63842773,,2.694371398069123
Tonga,1998,69.224,1888.8319402828156,101388.0,,0.765,,,2.2925765040133967
Israel,1990,76.60731707317075,13308.311060238037,4660000.0,,0.111,,,7.315199194480698
Algeria,2004,72.536,2816.9938496055483,32628286.0,111.655128479004,4.63448,92.6876297,,4.499999999766985
South Africa,2009,57.413,6374.705600429925,51728516.0,102.598709106445,10.0,487.62774658,92.8899993896484,-1.5380891352558308
South Asia (IDA & IBRD),1996,60.918848295428354,400.0951140235445,1145998648.0,,,,51.7785606384277,7.074306040327343
Small states,2007,68.5761118394504,10035.959547175318,17047450.0,103.954048156738,23.3,570.0859187565649,82.8389511108398,4.657115139567765
"Korea, Dem. People's Rep.",1994,70.472,,22393975.0,,,,,
Zimbabwe,2008,48.456,340.7402102981584,12959149.0,,3.5,,,-17.668946330105513
Palau,2003,65.446,7862.042830255862,19659.0,113.169898986816,21.6015,638.3067627,,-3.223277067682602
Belize,2006,70.535,5527.167758564392,287878.0,119.866386413574,24.0,196.11968994,,4.511447375822698
Lithuania,2020,75.02926829268293,20428.647815739412,2810369.0,103.468246459961,83.0555,1520.39221191,,0.0428158336981425
Austria,2006,79.88048780487806,40382.20782985749,8268641.0,102.310897827148,63.6,3882.98193359,,3.2693360150605884
