productName,Revenue,Cantidad
"Alice Mutton",12909,331
"Aniseed Syrup",800,80
"Boston Crab Meat",4608,256
"Camembert Pierrot",14620,430
"Carnarvon Tigers",6678,106
Chais,2862,159
Chang,6479,341
"Chartreuse verte",4788,266
"Chef Anton's Cajun Seasoning",2354,107
"Chef Anton's Gumbo Mix",2709,129
Chocolade,910,70
"Côte de Blaye",63096,239
"Escargots de Bourgogne",2015,155
"Filo Mix",336,48
Fløtemysost,7392,336
Geitost,948,316
"Genen Shouyu",400,25
"Gnocchi di nonna Alice",10222,269
"Gorgonzola Telino",5954,458
"Grandma's Boysenberry Spread",900,36
"Gravad lax",1014,39
"Guaraná Fantástica",790,158
Gudbrandsdalsost,6624,184
"Gula Malacca",3382,178
"Gumbär Gummibärchen",7192,232
"Gustaf's Knäckebröd",378,18
Ikura,2635,85
"Inlagd Sill",3762,198
"Ipoh Coffee",6256,136
"Jack's New England Clam Chowder",1390,139
Konbu,552,92
Lakkalikööri,3564,198
"Laughing Lumberjack Lager",70,5
"Longlife Tofu",1860,186
"Louisiana Fiery Hot Pepper Sauce",3675,175
"Louisiana Hot Spiced Okra",1530,90
"Manjimup Dried Apples",8639,163
"Mascarpone Fabioli",1664,52
Maxilaku,3600,180
"Mishi Kobe Niku",1940,20
"Mozzarella di Giovanni",9450,270
"Nord-Ost Matjeshering",4420,170
"Northwoods Cranberry Sauce",5600,140
"NuNuCa Nuß-Nougat-Creme",994,71
"Original Frankfurter grüne Soße",1404,108
"Outback Lager",2460,164
"Pâté chinois",5712,238
Pavlova,5746,338
"Perth Pasties",8283,251
"Queso Cabrales",3822,182
"Queso Manchego La Pastora",1026,27
"Raclette Courdavault",19030,346
"Ravioli Angelo",3360,168
"Rhönbräu Klosterbier",1152,144
"Röd Kaviar",675,45
"Røgede sild",150,15
"Rössle Sauerkraut",8694,189
"Sasquatch Ale",1540,110
"Schoggi Schokolade",3960,90
"Scottish Longbreads",2587,199
"Singaporean Hokkien Fried Mee",1078,77
"Sir Rodney's Marmalade",8586,106
"Sir Rodney's Scones",1470,147
"Sirop d'érable",3074,106
Spegesild,1740,145
"Steeleye Stout",6642,369
"Tarte au sucre",15925,325
"Teatime Chocolate Biscuits",1629,181
"Thüringer Rostbratwurst",20832,168
Tofu,3496,152
Tourtière,1960,280
Tunnbröd,1485,165
"Uncle Bob's Organic Dried Pears",750,25
"Valkoinen suklaa",1120,70
Vegie-spread,9196,209
"Wimmers gute Semmelknödel",5511,167
"Zaanse koeken",1010,101
