Property Name,Portfolio Manager ID,Portfolio Manager Meter ID,Meter Name,Meter Type,Meter Consumption ID,Start Date,End Date,Usage/Quantity,Usage Units,Cost ($)
#13 Police Division,35000258,189947941,AUTO_#13 Police Division-Electric,Electric - Grid,8451527469,2022-01-01 00:00:00,2022-02-01 00:00:00,42876.27,kWh (thousand Watt-hours),5775.7
#13 Police Division,35000258,189947941,AUTO_#13 Police Division-Electric,Electric - Grid,8451527470,2022-02-01 00:00:00,2022-03-01 00:00:00,39721.72,kWh (thousand Watt-hours),5377.67
#13 Police Division,35000258,189947941,AUTO_#13 Police Division-Electric,Electric - Grid,8451527471,2022-03-01 00:00:00,2022-04-01 00:00:00,41278.04,kWh (thousand Watt-hours),5611
#13 Police Division,35000258,189947941,AUTO_#13 Police Division-Electric,Electric - Grid,8451527472,2022-04-01 00:00:00,2022-05-01 00:00:00,37111.95,kWh (thousand Watt-hours),4989.06
#13 Police Division,35000258,189947941,AUTO_#13 Police Division-Electric,Electric - Grid,8451527473,2022-05-01 00:00:00,2022-06-01 00:00:00,41778.27,kWh (thousand Watt-hours),5984.66
#13 Police Division,35000258,189947941,AUTO_#13 Police Division-Electric,Electric - Grid,8451527474,2022-06-01 00:00:00,2022-07-01 00:00:00,43191.93,kWh (thousand Watt-hours),7459.65
#13 Police Division,35000258,189947941,AUTO_#13 Police Division-Electric,Electric - Grid,8451527475,2022-07-01 00:00:00,2022-08-01 00:00:00,51529.45,kWh (thousand Watt-hours),10040.08
#13 Police Division,35000258,189947941,AUTO_#13 Police Division-Electric,Electric - Grid,8451527476,2022-08-01 00:00:00,2022-09-01 00:00:00,52583.64,kWh (thousand Watt-hours),9502.73
#13 Police Division,35000258,189947941,AUTO_#13 Police Division-Electric,Electric - Grid,8451527477,2022-09-01 00:00:00,2022-10-01 00:00:00,34396.96,kWh (thousand Watt-hours),5444.02
#13 Police Division,35000258,189947941,AUTO_#13 Police Division-Electric,Electric - Grid,8451527478,2022-10-01 00:00:00,2022-11-01 00:00:00,30086.82,kWh (thousand Watt-hours),2844.14
#13 Police Division,35000258,189947941,AUTO_#13 Police Division-Electric,Electric - Grid,8451527479,2022-11-01 00:00:00,2022-12-01 00:00:00,41056.15,kWh (thousand Watt-hours),5206.67
#13 Police Division,35000258,189947942,AUTO_#13 Police Division-Natural Gas,Natural Gas,8451527457,2022-01-01 00:00:00,2022-02-01 00:00:00,8792.74,cm (cubic meters),3113.27
#13 Police Division,35000258,189947942,AUTO_#13 Police Division-Natural Gas,Natural Gas,8451527458,2022-02-01 00:00:00,2022-03-01 00:00:00,7190.8,cm (cubic meters),2568.93
#13 Police Division,35000258,189947942,AUTO_#13 Police Division-Natural Gas,Natural Gas,8451527459,2022-03-01 00:00:00,2022-04-01 00:00:00,5888.9,cm (cubic meters),2179.98
#13 Police Division,35000258,189947942,AUTO_#13 Police Division-Natural Gas,Natural Gas,8451527460,2022-04-01 00:00:00,2022-05-01 00:00:00,4566.21,cm (cubic meters),1797.58
#13 Police Division,35000258,189947942,AUTO_#13 Police Division-Natural Gas,Natural Gas,8451527461,2022-05-01 00:00:00,2022-06-01 00:00:00,1009.66,cm (cubic meters),489.51
#13 Police Division,35000258,189947942,AUTO_#13 Police Division-Natural Gas,Natural Gas,8451527462,2022-06-01 00:00:00,2022-07-01 00:00:00,359.5,cm (cubic meters),191.95
#13 Police Division,35000258,189947942,AUTO_#13 Police Division-Natural Gas,Natural Gas,8451527463,2022-07-01 00:00:00,2022-08-01 00:00:00,768.48,cm (cubic meters),423.11
#13 Police Division,35000258,189947942,AUTO_#13 Police Division-Natural Gas,Natural Gas,8451527464,2022-08-01 00:00:00,2022-09-01 00:00:00,161.36,cm (cubic meters),157.58
#13 Police Division,35000258,189947942,AUTO_#13 Police Division-Natural Gas,Natural Gas,8451527465,2022-09-01 00:00:00,2022-10-01 00:00:00,587.0,cm (cubic meters),339.66
#13 Police Division,35000258,189947942,AUTO_#13 Police Division-Natural Gas,Natural Gas,8451527466,2022-10-01 00:00:00,2022-11-01 00:00:00,2285.84,cm (cubic meters),1127.26
#13 Police Division,35000258,189947942,AUTO_#13 Police Division-Natural Gas,Natural Gas,8451527467,2022-11-01 00:00:00,2022-12-01 00:00:00,4500.71,cm (cubic meters),2121
#22 Police Division,35000260,189947959,AUTO_#22 Police Division-Electric,Electric - Grid,8451521191,2022-01-01 00:00:00,2022-02-01 00:00:00,39309.34,kWh (thousand Watt-hours),5425.83
#22 Police Division,35000260,189947959,AUTO_#22 Police Division-Electric,Electric - Grid,8451521192,2022-02-01 00:00:00,2022-03-01 00:00:00,36733.66,kWh (thousand Watt-hours),4921.78
#22 Police Division,35000260,189947959,AUTO_#22 Police Division-Electric,Electric - Grid,8451521193,2022-03-01 00:00:00,2022-04-01 00:00:00,40522.13,kWh (thousand Watt-hours),5577.44
#22 Police Division,35000260,189947959,AUTO_#22 Police Division-Electric,Electric - Grid,8451521194,2022-04-01 00:00:00,2022-05-01 00:00:00,36353.91,kWh (thousand Watt-hours),4877.09
#22 Police Division,35000260,189947959,AUTO_#22 Police Division-Electric,Electric - Grid,8451521195,2022-05-01 00:00:00,2022-06-01 00:00:00,42124.67,kWh (thousand Watt-hours),6118.22
#22 Police Division,35000260,189947959,AUTO_#22 Police Division-Electric,Electric - Grid,8451521196,2022-06-01 00:00:00,2022-07-01 00:00:00,35233.15,kWh (thousand Watt-hours),6178.21
