Property Name,Portfolio Manager ID,Portfolio Manager Meter ID,Meter Name,Meter Type,Units,First Day of First Meter Entry,Last Day of Last Meter Entry
#13 Police Division,35000258,189947941,AUTO_#13 Police Division-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-09-01 00:00:00
#13 Police Division,35000258,189947942,AUTO_#13 Police Division-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-09-01 00:00:00
#22 Police Division,35000260,189947959,AUTO_#22 Police Division-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-05-01 00:00:00
#22 Police Division,35000260,189947960,AUTO_#22 Police Division-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-05-01 00:00:00
#23 Police Division,35000261,189947990,AUTO_#23 Police Division-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
#23 Police Division,35000261,189947991,AUTO_#23 Police Division-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
#41 Police Division,35000265,189948016,AUTO_#41 Police Division-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-05-01 00:00:00
#41 Police Division,35000265,189948017,AUTO_#41 Police Division-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-05-01 00:00:00
#42 Police Division,35000266,189948021,AUTO_#42 Police Division-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-05-01 00:00:00
#42 Police Division,35000266,189948022,AUTO_#42 Police Division-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-05-01 00:00:00
#54 Police Division (#55 Subunit),35000271,189948070,AUTO_#54 Police Division (#55 Subunit)-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-08-01 00:00:00
#54 Police Division (#55 Subunit),35000271,189948071,AUTO_#54 Police Division (#55 Subunit)-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-08-01 00:00:00
0 Gardiner Expressway,35000550,189948081,AUTO_0 Gardiner Expressway-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
1 Ranleigh - Fire Vent,35000620,189948087,AUTO_1 Ranleigh - Fire Vent-Electric,Electric - Grid,kWh (thousand Watt-hours),2016-12-31 00:00:00,2024-10-31 00:00:00
1 STRATHMORE BLVD,34999485,189948099,AUTO_1 STRATHMORE BLVD-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-08-01 00:00:00,2024-06-01 00:00:00
1 STRATHMORE BLVD,34999485,189948100,AUTO_1 STRATHMORE BLVD-Natural Gas,Natural Gas,cm (cubic meters),2014-08-01 00:00:00,2024-06-01 00:00:00
10 Daventry Rd,34999543,189948101,AUTO_10 Daventry Rd-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-08-01 00:00:00,2024-11-01 00:00:00
100 Hickory Tree Rd.,34999544,189948102,AUTO_100 Hickory Tree Rd.-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
100 St Lawrence St,35000553,189948104,AUTO_100 St Lawrence St-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-31 00:00:00
1094 Lakeshore Blvd W,34999545,189948115,AUTO_1094 Lakeshore Blvd W-Electric,Electric - Grid,kWh (thousand Watt-hours),2020-09-14 00:00:00,2024-11-01 00:00:00
110 Coe Hill Dr (Blower Enclosure),34999477,189992512,AUTO_110 Coe Hill Dr (Blower Enclosure)-Electric,Electric - Grid,kWh (thousand Watt-hours),2018-12-12 00:00:00,2024-11-01 00:00:00
111 Frederick St,34999487,189992514,AUTO_111 Frederick St-Electric,Electric - Grid,kWh (thousand Watt-hours),Not Available,Not Available
113 Spadina Rd,34999490,189992520,AUTO_113 Spadina Rd-Natural Gas,Natural Gas,cm (cubic meters),2014-08-01 00:00:00,2024-10-01 00:00:00
113 Spadina Rd,34999490,189992521,AUTO_113 Spadina Rd-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-08-01 00:00:00,2024-10-01 00:00:00
12 St. Dunstan Dr.,35000555,189992527,AUTO_12 St. Dunstan Dr.-Electric,Electric - Grid,kWh (thousand Watt-hours),Not Available,Not Available
1230 Eglinton Ave E,35000556,189992530,AUTO_1230 Eglinton Ave E-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
1231 Queen St W,34999547,189992534,AUTO_1231 Queen St W-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-11-01 00:00:00
128 York St Pole 50,35000621,189992536,AUTO_128 York St Pole 50-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-05-01 00:00:00
130 Elizabeth St,34999491,189992540,AUTO_130 Elizabeth St-Natural Gas,Natural Gas,cm (cubic meters),2021-11-10 00:00:00,2024-10-01 00:00:00
130 Elizabeth St,34999491,189992541,AUTO_130 Elizabeth St-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
1328 Lansdowne Ave,35000622,189992542,AUTO_1328 Lansdowne Ave-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
134 Spadina Rd,34999492,189992544,AUTO_134 Spadina Rd-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-08-01 00:00:00
134 Spadina Rd,34999492,189992545,AUTO_134 Spadina Rd-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-08-01 00:00:00
139 Marcos Blvd,34999548,189992549,AUTO_139 Marcos Blvd-Electric,Electric - Grid,kWh (thousand Watt-hours),2014-08-01 00:00:00,2024-11-01 00:00:00
Humber Treatment Plant,35000427,190077555,AUTO_Humber Treatment Plant-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Humber Treatment Plant,35000427,190077557,AUTO_Humber Treatment Plant-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Agincourt Library,35000292,190077604,AUTO_Agincourt Library-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Agincourt Library,35000292,190077605,AUTO_Agincourt Library-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Brock West Landfill (Closed),34999481,190079253,AUTO_Brock West Landfill (Closed)-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-10-01 00:00:00
Brookbanks Library,35000305,190079277,AUTO_Brookbanks Library-Natural Gas,Natural Gas,cm (cubic meters),2010-01-01 00:00:00,2024-01-01 00:00:00
Brookbanks Library,35000305,190079278,AUTO_Brookbanks Library-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
Brookbanks Park,34999633,190079282,AUTO_Brookbanks Park-Electric,Electric - Grid,kWh (thousand Watt-hours),Not Available,Not Available
Brule Gardens Sewage Pumping Station,35000387,190079292,AUTO_Brule Gardens Sewage Pumping Station-Electric,Electric - Grid,kWh (thousand Watt-hours),2010-01-01 00:00:00,2024-01-01 00:00:00
