Property Name,Portfolio Manager ID,Street Address,City/Municipality,Postal Code,Property Type - Self-Selected,Gross Floor Area,Occupancy (%)
#11 Police Division - OLD,34999087,209 MAVETY ST,Toronto,M6P 2M1,Office,21119,100
#14 Police Division - OLD,34999088,150 HARRISON ST,Toronto,M6J 2A4,Office,24197,100
175 Memorial Park Ave,34999089,175 MEMORIAL PARK AVE,Toronto,M4J 2K5,Office,6394,100
18 Dyas Rd.,34999090,18 DYAS RD,North York,M3B 1V5,Office,73927,100
2 Civic Centre Court,34999091,2 CIVIC CENTRE CRT,Etobicoke,M9C 5A3,Office,46145,100
2118 Danforth Ave - Ward 19 Office,34999092,2118 Danforth Ave,Toronto,M4C 1J9,Office,1,100
2141 Kipling Ave - Ward 1 Office,34999093,2141 Kipling Ave,Etobicoke,M9W 4K8,Office,1,100
229 Richmond St. W,34999094,229 Richmond St. W,Toronto,M5V 1W2,Office,1,100
2340 Dundas St W (Crossways),34999095,2340 Dundas St.W.,Toronto,M6P 4A9,Office,1,100
275 Merton St,34999096,275 MERTON ST,Toronto,M4S 1A7,Office,66747,100
2800 Keele,34999097,2800 Keele St,North York,M3M 0B8,Office,1,100
2985 Kingston Rd (EPIC Program),34999098,2985 Kingston Rd,Scarborough,M1M 1P1,Office,8530,100
51 Lisgar,34999099,51 LISGAR ST,Toronto,M6J 0B9,Office,10053,100
53 Strachan Ave,34999100,805 WELLINGTON ST,Toronto,M5V 1G8,Office,49213,100
98 The Esplanade,34999101,98 The Esplanade,Toronto,M5E 1A9,Office,1,100
Archives and Records Centre,34999102,255 SPADINA RD,Toronto,M5R 2V3,Office,39590,100
Atlantic Ave Storage Bldg,34999103,98 ATLANTIC AVE,Toronto,M6K 1X9,Office,43002,100
Attwell Employment & Social Services,34999104,220 ATTWELL DR,Etobicoke,M9W 6T9,Office,20279,100
Beaches Employment & Social Services,34999105,1631 QUEEN ST E,Toronto,M4L 1G4,Office,25327,100
Bridlewood Employment & Social Services,34999106,2900 Warden Ave,Scarborough,M1W 2S8,Office,34399,100
Chaplin Crescent Storage,34999107,329 CHAPLIN CRES,Toronto,M5N 2M9,Office,18299,100
City Clerk's Office (2 Hobson Ave),34999108,2 HOBSON AVE,North York,M4A 1B3,Office,34843,100
City Hall,34999109,100 QUEEN ST W,Toronto,M5H 2N1,Office,780061,100
City Hall Ancillary Office Building,34999110,75 ELIZABETH ST,Toronto,M5G 1P4,Office,14768,100
Ambulance Headquarters/TPS Station #53,34999142,4330 DUFFERIN ST,North York,M3H 5R9,Other - Public Services,143494,100
Community Paramedicine/Post 17,34999143,50 TORYORK DR,North York,M9L 1X6,Other - Public Services,13153,100
Albion Road Early Learning & Child Care Centre,34999175,1545 ALBION RD,Etobicoke,M9V 1B2,Pre-school/Daycare,5543,100
Ancaster Early Learning & Child Care Centre,34999176,45 ANCASTER RD,North York,M3K 1S7,Pre-school/Daycare,7018,100
City Kids Early Learning & Child Care Centre,34999177,34 BATHURST ST,Toronto,M5V 3W3,Pre-school/Daycare,8460,100
Amesbury Community Centre,34999189,1507 LAWRENCE AVE W,North York,M6L 1A8,Social/Meeting Hall,37975,100
Ancaster Community Centre,34999190,41 ANCASTER RD,North York,M3K 1S7,Social/Meeting Hall,7513,100
Armour Heights Community Centre,34999191,2140 AVENUE RD,Toronto,M5M 4M7,Social/Meeting Hall,19773,100
Banbury Community Centre,34999192,120 BANBURY RD,North York,M3B 2L3,Social/Meeting Hall,9537,100
Bennington Heights Park,34999193,76 BENNINGTON HEIGHTS DR,East York,M4G 1B1,Social/Meeting Hall,1432,100
Berner Trail Community Centre,34999194,120 BERNER TRL,Scarborough,M1B 1B3,Social/Meeting Hall,10204,100
Birkdale Community Centre,34999195,1299 ELLESMERE RD,Scarborough,M1P 2Y2,Social/Meeting Hall,11733,100
Burrows Hall Community Centre,34999196,1081 PROGRESS AVE,Scarborough,M1B 5Z6,Social/Meeting Hall,43185,100
Carmine Stefano Community Centre,34999197,3100 WESTON RD,North York,M9M 2Z9,Social/Meeting Hall,57867,100
Cedarbrook Community Centre,34999198,91 EASTPARK BLVD,Scarborough,M1H 1C6,Social/Meeting Hall,14951,100
Church Isabella Resident Coop,34999199,56 WELLESLEY ST E,Toronto,M4Y 1G2,Social/Meeting Hall,19106,100
Curran Hall Community Centre,34999200,277 ORTON PARK RD,Scarborough,M1G 3T4,Social/Meeting Hall,2508,100
Campbell House,34999268,3620 KINGSTON RD,Scarborough,M1M 1R9,Other - Entertainment/Public Assembly,3595,100
Cedar Ridge Creative Centre,34999269,225 CONFEDERATION DR,Scarborough,M1G 1B2,Other - Entertainment/Public Assembly,13110,100
Colborne Lodge,34999270,11 COLBORNE LODGE DR,Toronto,M6P 3K7,Other - Entertainment/Public Assembly,7050,100
0 Lake Shore Blvd W,34999294,2 STRACHAN AVE,Toronto,M6K 1W7,Other - Public Services,431,0
City Hall Eternal Flame,34999295,100 QUEEN ST W,Toronto,M5H 2N1,Other - Public Services,1,0
401 Gladstone Av Shelter,34999300,875 DUFFERIN ST,Toronto,M6H 4J3,Other - Public Services,1,100
Allan Gardens,34999393,121 CARLTON ST,Toronto,M5A 2K2,Other - Public Services,25177,100
Centennial Park Conservatory,34999394,151 ELMCREST RD,Etobicoke,M9C 3S2,Other - Public Services,29170,100
Cloud Gardens,34999395,14 TEMPERANCE ST,Toronto,M5H 1Y4,Other - Public Services,6243,100
Agincourt Recreation Centre,34999399,15 HEATHER RD,Scarborough,M1S 2B7,Other - Recreation,93398,100
Amesbury Arena,34999400,155 CULFORD RD,Toronto,M6M 4K6,Other - Recreation,26942,100
Birchmount Community Centre,34999401,93 BIRCHMOUNT RD,Scarborough,M1N 3J7,Other - Recreation,46166,100
Broadlands Community Centre,34999402,19 CASTLEGROVE BLVD,North York,M3A 1K9,Other - Recreation,10667,100
Centennial Recreation Centre,34999403,1967 ELLESMERE RD,Scarborough,M1H 2W5,Other - Recreation,102376,100
Cummer Park Community Centre,34999404,6000 LESLIE ST,North York,M2H 1J9,Other - Recreation,34348,100
Albion Arena,34999421,1501 ALBION RD,Etobicoke,M9V 1B2,Indoor Arena,32658,100
Angela James Arena,34999422,165 GRENOBLE DR,North York,M3C 3E7,Indoor Arena,25640,100
Baycrest Arena,34999423,160 NEPTUNE DR,North York,M6A 2Y3,Indoor Arena,27060,100
Bayview Arena,34999424,3230 BAYVIEW AVE,North York,M2M 3R7,Indoor Arena,28417,100
Centennial Park Arena & Stadium,34999425,156 CENTENNIAL PARK RD,Etobicoke,M9C 5H1,Indoor Arena,72050,100
Central Arena,34999426,50 MONTGOMERY RD,Etobicoke,M8X 1Z4,Indoor Arena,32001,100
Chris Tonks Arena,34999427,95 BLACK CREEK DR,Toronto,M6M 2K6,Indoor Arena,23638,100
Commander Park Recreation Centre,34999428,140 COMMANDER BLVD,Scarborough,M1S 3H7,Indoor Arena,56317,100
Albion Pool & Health Club,34999448,1485 ALBION RD,Etobicoke,M9V 1B2,Other - Recreation,20688,100
Annette Community Recreation Centre,34999449,333 ANNETTE ST,Toronto,M6P 1R3,Other - Recreation,20774,100
Antibes Park (Community Centre),34999450,140 ANTIBES DR,North York,M2R 3J3,Other - Recreation,18492,100
Beaches Recreation Centre,34999451,6 WILLIAMSON RD,Toronto,M4E 1K5,Other - Recreation,14445,100
110 Coe Hill Dr (Blower Enclosure),34999477,110 COE HILL DR,Toronto,M6S 3E1,Other - Public Services,20,0
888 Cosburn Ave (Blower),34999478,373 CEDARVALE AVE,Toronto,M4C 4K7,Other - Public Services,1,0
Beare Road Landfill (Closed),34999479,8145 FINCH AVE E,Scarborough,M1B 5W3,Other - Public Services,5942,0
Brock North Landfill (Closed),34999480,3rd Concession Rd & Rossland Rd,Pickering,L1T 4P8,Other - Public Services,1,0
Brock West Landfill (Closed),34999481,2357 Meriadoc Dr,Pickering,L1X 2T1,Other - Public Services,10764,0
1 STRATHMORE BLVD,34999485,1 STRATHMORE BLVD,Toronto,M4J 1P1,Other - Public Services,2383,100
100 Rosedale Valley,34999486,100 ROSEDALE VALLEY RD,Toronto,M4W 1P7,Other - Public Services,2691,100
111 Frederick St,34999487,111 Frederick St,Toronto,M5A 4H1,Other - Public Services,1,100
111 KING ST E,34999488,111 KING ST E,Toronto,M5C 1G6,Other - Public Services,8775,100
111 Spadina Rd.,34999489,111 SPADINA RD,Toronto,M5R 2T1,Other - Public Services,4758,100
113 Spadina Rd,34999490,113 SPADINA RD,Toronto,M5R 2T1,Other - Public Services,2982,100
130 Elizabeth St,34999491,130 Elizabeth St,Toronto,M5G 1C6,Other - Public Services,1,100
134 Spadina Rd,34999492,134 SPADINA RD,Toronto,M5R 2T8,Other - Public Services,3369,100
136 Spadina Rd,34999493,136 SPADINA RD,Toronto,M5R 2T8,Other - Public Services,2626,100
14 Woodrow Ave,34999494,14 Woodrow Ave,Toronto,M4C 5S2,Other - Public Services,1,100
161 Spadina Rd,34999495,161 SPADINA RD,Toronto,M5R 2T9,Other - Public Services,3651,100
17 Mill St [George S Pratt House],34999496,17 MILL ST,North York,M2P 1B3,Other - Public Services,2000,100
1761 Sheppard Ave E,34999497,1761 Sheppard Ave. E,North York,M2J 0A5,Other - Public Services,1,100
1845 Kingston Rd,34999498,1845 KINGSTON RD,Scarborough,M1N 1T3,Other - Public Services,2400,100
223 Gladys Allison Pl,34999499,223 Gladys Allison Place,North York,M2N 4T5,Other - Public Services,2898,100
238 Queen St. W,34999500,238 Queen St. W,Toronto,M5V 1Z7,Other - Public Services,11930,100
2444 Eglinton Ave E,34999501,2444 EGLINTON AVE E,Scarborough,M1K 2P7,Other - Public Services,1,100
292-296 Parliament St,34999502,292-296 Parliament St,Toronto,M5A 3A4,Other - Public Services,1,100
3 STRATHMORE BLVD,34999503,3 STRATHMORE BLVD,Toronto,M4J 1P1,Other - Public Services,1328,100
30 Woodrow Ave,34999504,30 Woodrow Ave,Toronto,M4C 5S2,Other - Public Services,1,100
313 Gainsborough Rd,34999505,315 GAINSBOROUGH RD,Toronto,M4L 3C6,Other - Public Services,484,100
388 EVANS AVE,34999506,388 EVANS AVE,Etobicoke,M8Z 1K6,Other - Public Services,7500,100
39 Commissioners St.,34999507,39 Commissioners St.,Toronto,M5A 1A6,Other - Public Services,1,100
40 DARRELL AVE,34999508,40 DARRELL AVE,Toronto,M4E 2G4,Other - Public Services,962,100
40 Russell Hill Rd,34999509,40 RUSSELL HILL RD,Toronto,M4V 2T2,Other - Public Services,3735,100
4200 Eglinton Ave W,34999510,4200 EGLINTON AVE W,Etobicoke,M9A 4M3,Other - Public Services,2002,100
43 Edwin Ave,34999511,43 EDWIN AVE,Toronto,M6P 3Z5,Other - Public Services,1074,100
460 Jarvis St,34999512,460 JARVIS ST,Toronto,M4Y 2X8,Other - Public Services,1,100
4626 Kingston Rd.,34999513,4626 Kingston Rd.,Scarborough,M1E 2P6,Other - Public Services,2874,100
468 Queen St W (468/470),34999514,468 Queen St W,Toronto,M5V 2B2,Other - Public Services,1,100
567 ARLINGTON,34999515,567 ARLINGTON AVE,Toronto,M6C 3A6,Other - Public Services,1066,100
610 Bay St,34999516,610 Bay St,Toronto,M5G 1M5,Other - Public Services,1,100
705 Progress Ave,34999517,705 Progress Ave,Scarborough,M1H 2X1,Other - Public Services,1,100
73 Spadina,34999518,73 SPADINA RD,Toronto,M5R 2T1,Other - Public Services,2548,100
74 Dupont St.,34999519,74 Dupont St.,Toronto,M5R 1V2,Other - Public Services,1,100
90 Morningside Ave,34999520,90 MORNINGSIDE AVE,Scarborough,M1E 3C2,Other - Public Services,1,100
Bendale Acres,34999523,2920 LAWRENCE AVE E,Scarborough,M1P 2T8,Residential Care Facility,210327,100
Carefree Lodge,34999524,306 FINCH AVE E,North York,M2N 4S5,Residential Care Facility,67490,100
Castleview Wychwood Towers,34999525,351 CHRISTIE ST,Toronto,M6G 3C3,Residential Care Facility,294447,100
Cummer Lodge,34999526,205 CUMMER AVE,North York,M2M 2E8,Residential Care Facility,243200,100
25 Via Renzo Drive,34999533,25 VIA RENZO DR,Richmond Hill,L4S 0B8,Other - Public Services,13186,100
"Communication, Traffic, & Computer Centre",34999534,703 DON MILLS RD,North York,M3C 3N3,Other - Public Services,132999,100
10 Daventry Rd,34999543,10 Daventry Rd,Scarborough,M1H 1X9,Other - Public Services,1,100
100 Hickory Tree Rd.,34999544,100 Hickory Tree Rd,Toronto,M6N 3W4,Other - Public Services,166,100
1094 Lakeshore Blvd W,34999545,1094 Lakeshore Blvd W,Toronto,M6K 3C3,Other - Public Services,1,100
111 St Andrews Rd,34999546,111 St Andrews Road,Scarborough,M1P 4C6,Other - Public Services,1,100
1231 Queen St W,34999547,1229 QUEEN ST W,Toronto,M6K 1L2,Other - Public Services,1,100
139 Marcos Blvd,34999548,139 Marcos Blvd,Scarborough,M1P 2S2,Other - Public Services,1,100
