Property Name,Portfolio Manager ID,Property Use Name,Use Type,Gross Floor Area for Use,Gross Floor Area Units,Gross Floor Area Temporary Value? (Y/N)
#11 Police Division - OLD,34999087,Building Use,Office,21119.0,Sq. Ft.,No
#14 Police Division - OLD,34999088,Building Use,Office,24197.0,Sq. Ft.,No
175 Memorial Park Ave,34999089,Building Use,Office,6394.0,Sq. Ft.,No
18 Dyas Rd.,34999090,Building Use,Office,73927.0,Sq. Ft.,No
2 Civic Centre Court,34999091,Building Use,Office,46145.0,Sq. Ft.,No
2118 Danforth Ave - Ward 19 Office,34999092,Building Use,Office,1.0,Sq. Ft.,No
2141 Kipling Ave - Ward 1 Office,34999093,Building Use,Office,0.0,Sq. Ft.,No
229 Richmond St. W,34999094,Building Use,Office,0.0,Sq. Ft.,No
2340 Dundas St W (Crossways),34999095,Building Use,Office,0.0,Sq. Ft.,No
275 Merton St,34999096,Building Use,Office,66747.0,Sq. Ft.,No
2800 Keele,34999097,Building Use,Office,0.0,Sq. Ft.,No
2985 Kingston Rd (EPIC Program),34999098,Building Use,Office,8530.0,Sq. Ft.,No
51 Lisgar,34999099,Building Use,Office,10053.0,Sq. Ft.,No
53 Strachan Ave,34999100,Building Use,Office,49213.0,Sq. Ft.,No
98 The Esplanade,34999101,Building Use,Office,0.0,Sq. Ft.,No
Archives and Records Centre,34999102,Building Use,Office,39590.0,Sq. Ft.,No
Atlantic Ave Storage Bldg,34999103,Building Use,Office,43002.0,Sq. Ft.,No
Attwell Employment & Social Services,34999104,Building Use,Office,20279.0,Sq. Ft.,No
Beaches Employment & Social Services,34999105,Building Use,Office,25327.0,Sq. Ft.,No
Bridlewood Employment & Social Services,34999106,Building Use,Office,34399.0,Sq. Ft.,No
Chaplin Crescent Storage,34999107,Building Use,Office,18299.0,Sq. Ft.,No
City Clerk's Office (2 Hobson Ave),34999108,Building Use,Office,34843.0,Sq. Ft.,No
City Hall,34999109,Building Use,Office,780061.0,Sq. Ft.,No
City Hall Ancillary Office Building,34999110,Building Use,Office,14768.0,Sq. Ft.,No
Dufferin Employment & Social Services,34999111,Building Use,Office,27894.0,Sq. Ft.,No
Dyas Road Archive Bldg,34999112,Building Use,Office,28589.0,Sq. Ft.,No
East Court & Municipal Services,34999113,Building Use,Office,120104.0,Sq. Ft.,No
East York Civic Centre,34999114,Building Use,Office,67544.0,Sq. Ft.,No
Eastville Training Centre,34999115,Building Use,Office,19849.0,Sq. Ft.,No
Election Services Building,34999116,Building Use,Office,55004.0,Sq. Ft.,No
Etobicoke Civic Centre,34999117,Building Use,Office,154925.0,Sq. Ft.,No
Forestry W District Office,34999118,Building Use,Office,8999.0,Sq. Ft.,No
Former Hydro Building,34999119,Building Use,Office,22497.0,Sq. Ft.,No
Golden Mile Employment & Social Services,34999120,Building Use,Office,45000.0,Sq. Ft.,No
Health Office - Jane Street Clinic,34999121,Building Use,Office,2540.0,Sq. Ft.,No
High Park Office,34999122,Building Use,Office,0.0,Sq. Ft.,No
Ambulance Headquarters/TPS Station #53,34999142,Building Use,Other - Public Services,143494.0,Sq. Ft.,No
Community Paramedicine/Post 17,34999143,Building Use,Other - Public Services,13153.0,Sq. Ft.,No
East Animal Centre,34999172,Building Use,Other - Public Services,12831.0,Sq. Ft.,No
Albion Road Early Learning & Child Care Centre,34999175,Building Use,Pre-school/Daycare,5543.0,Sq. Ft.,No
Ancaster Early Learning & Child Care Centre,34999176,Building Use,Pre-school/Daycare,7018.0,Sq. Ft.,No
