order_id,product_id,add_to_cart_order,reordered
537159,33120,1,1
2539329,28985,2,1
2398795,9327,3,0
473747,45918,4,1
2254736,30035,5,0
431534,17794,6,1
3367565,40141,7,1
550135,1819,8,1
3108588,43668,9,0
2295261,33754,1,1
2550362,24838,2,1
1187899,17704,3,1
2168274,21903,4,1
1501582,17668,5,1
1901567,46667,6,1
738281,17461,7,1
1673511,32665,8,1
1199898,46842,1,0
3194192,26434,2,1
788338,39758,3,1
1718559,27761,4,1
1447487,10054,5,1
1402090,21351,6,1
3186735,22598,7,1
3268552,34862,8,1
839880,40285,9,1
1492625,17616,10,1
1374495,25146,11,1
444309,32645,12,1
3002854,41276,13,1
2037211,13176,1,1
2710558,15005,2,1
1972919,47329,3,1
1839752,27966,4,1
3225766,23909,5,1
3160850,48370,6,1
676467,13245,7,1
521107,9633,8,1
1402502,27360,9,1
2774568,6348,10,1
3343014,40878,11,1
2030307,6184,12,1
691089,48002,13,1
94891,20914,14,1
2557754,37011,15,1
329954,12962,16,1
2717275,45698,17,1
1909121,24773,18,1
2267326,18569,19,1
157374,41176,20,1
2196797,48366,21,1
2086598,47209,22,0
298250,46522,23,0
998866,38693,24,0
1528013,48825,25,0
2565571,8479,26,0
2402008,40462,1,0
121053,15873,2,0
1695742,41897,3,0
3321109,34050,1,0
1682003,46802,2,0
1014379,23423,1,1
776265,21405,1,0
2507052,47890,2,1
1396119,11182,3,0
565870,2014,4,1
3239072,29193,5,1
1175028,34203,6,1
3060817,14992,7,1
3120740,31506,8,1
2425840,23288,9,0
23391,44533,10,1
2984707,18362,11,0
369015,27366,12,1
2452257,432,13,1
525192,3990,14,1
600894,14183,15,0
2979257,24852,1,1
2570360,4796,2,1
880375,31717,3,0
280530,47766,4,1
2762092,4605,5,1
1830137,1529,6,0
1094988,21137,7,1
1224907,22122,8,1
68288,34134,9,1
2115522,27156,10,0
83395,14992,11,0
1353310,49235,12,1
1822501,26842,13,0
2411567,3464,14,0
1170872,25720,15,0
2840752,30162,1,1
1611810,27085,2,1
2921164,5994,3,1
790927,1313,4,1
1468214,31506,5,1
1376945,30597,1,1
1483446,15221,2,1
